source,timestamp,cell_name,site_name,frequency_band,prb_load,throughput,throughput_kbps,active_users,rrc_users,traffic,cqi,ta,health,congested,issue_type,severity,root_cause,old_load,old_traffic,old_status_label
runtime_data,01-12-2025 00:00,TN1151_c01,TN1151_s01,L2100,82.81,29.99,29990.00,81,0,0.000,12.06,4.19,92,false,Normal,healthy,Normal,82.81,81,healthy
runtime_data,01-12-2025 00:00,TN1151_c02,TN1151_s01,L2600,67.23,56.43,56430.00,112,0,0.000,13.34,4.04,92,false,Normal,healthy,Normal,67.23,112,healthy
runtime_data,01-12-2025 00:00,TN1151_c03,TN1151_s02,L2100,57.29,31.43,31430.00,215,0,0.000,11.28,4.15,92,false,Normal,healthy,Normal,57.29,215,healthy
runtime_data,01-12-2025 00:00,TN1152_c01,TN1152_s01,L2600,35.84,57.23,57230.00,35,0,0.000,8.01,4.86,92,false,Normal,healthy,Normal,35.84,35,healthy
runtime_data,01-12-2025 00:00,TN1152_c02,TN1152_s01,L2600,81.79,8.07,8070.00,122,0,0.000,9.47,2.38,70,false,Normal,watch,Normal,81.79,122,watch
runtime_data,01-12-2025 00:00,TN1152_c03,TN1152_s02,L2600,53.90,58.61,58610.00,72,0,0.000,10.08,4.14,92,false,Normal,healthy,Normal,53.90,72,healthy
runtime_data,01-12-2025 00:00,TN1153_c01,TN1153_s01,L1800,81.56,7.28,7280.00,184,0,0.000,11.05,5.62,70,false,Normal,watch,Normal,81.56,184,watch
runtime_data,01-12-2025 00:00,TN1153_c02,TN1153_s01,L1800,38.53,12.26,12260.00,131,0,0.000,7.10,4.60,70,false,Radio Quality,watch,Radio Quality,38.53,131,watch
runtime_data,01-12-2025 00:00,TN1153_c03,TN1153_s02,L2100,75.14,44.18,44180.00,23,0,0.000,7.73,6.23,70,false,Radio Quality,watch,Radio Quality,75.14,23,watch
runtime_data,01-12-2025 00:00,TN1154_c01,TN1154_s01,L2600,66.90,20.00,20000.00,204,0,0.000,11.98,5.78,92,false,Normal,healthy,Normal,66.90,204,healthy
runtime_data,01-12-2025 00:00,TN1154_c02,TN1154_s01,L2100,79.71,22.44,22440.00,27,0,0.000,7.33,2.30,70,false,Radio Quality,watch,Radio Quality,79.71,27,watch
runtime_data,01-12-2025 00:00,TN1154_c03,TN1154_s02,L2600,94.48,23.76,23760.00,147,0,0.000,10.89,4.03,45,true,Congestion Confirmed,critical,Congestion Confirmed,94.48,147,critical
runtime_data,01-12-2025 00:00,TN1155_c01,TN1155_s01,L1800,57.43,54.29,54290.00,46,0,0.000,8.29,5.02,92,false,Normal,healthy,Normal,57.43,46,healthy
runtime_data,01-12-2025 00:00,TN1155_c02,TN1155_s01,L1800,35.16,19.21,19210.00,23,0,0.000,12.51,1.66,92,false,Normal,healthy,Normal,35.16,23,healthy
runtime_data,01-12-2025 00:00,TN1155_c03,TN1155_s02,L2100,91.80,43.49,43490.00,161,0,0.000,12.50,2.08,45,true,Congestion Confirmed,critical,Congestion Confirmed,91.80,161,critical
runtime_data,01-12-2025 00:00,TN1156_c01,TN1156_s01,L2100,50.14,20.65,20650.00,101,0,0.000,12.91,3.66,92,false,Normal,healthy,Normal,50.14,101,healthy
runtime_data,01-12-2025 00:00,TN1156_c02,TN1156_s01,L2600,90.02,53.74,53740.00,152,0,0.000,7.76,3.45,45,true,Congestion Confirmed,critical,Congestion Confirmed,90.02,152,critical
runtime_data,01-12-2025 00:00,TN1156_c03,TN1156_s02,L2600,52.22,10.66,10660.00,103,0,0.000,12.41,2.46,70,false,Normal,watch,Normal,52.22,103,watch
runtime_data,01-12-2025 00:00,TN1157_c01,TN1157_s01,L2100,82.85,28.30,28300.00,82,0,0.000,11.68,5.20,92,false,Normal,healthy,Normal,82.85,82,healthy
