date,enodeb_name,longitude_sector,latitude_sector,azimuth,cell_name,frequency_band,localcell_id,cell_fdd_tdd_indication,l_traffic_activeuser_dl_avg,ft_ave_4g_lte_dl_user_thrput_without_last_tti_all___kbps__kbit_,ft_physical_resource_blocks_load_dl,ft_4g_lte_average_reported_cqi,ot_average_ta,referencesignalpwr
15-11-2025 10:00,site_0001,10.53269,35.91589,310,site_0001_f3,20,3,CELL_FDD,0.5113,18935.3517,26.3298,9.0594,4.4824,182
15-11-2025 11:00,site_0001,10.53269,35.91589,140,site_0001_l2,1,8,CELL_FDD,0.3631,30003.749,16.6128,10.9682,3.1047,170
15-11-2025 12:00,site_0001,10.53269,35.91589,310,site_0001_h3,3,6,CELL_FDD,2.7404,18078.5777,65.3905,11.2314,4.2219,170
15-11-2025 12:00,site_0001,10.53269,35.91589,310,site_0001_l3,1,9,CELL_FDD,1.7164,18748.8277,56.5378,10.709,3.9391,170
15-11-2025 13:00,site_0001,10.53269,35.91589,140,site_0001_f2,20,2,CELL_FDD,0.3445,8925.9214,16.6195,9.929,4.29,182
15-11-2025 19:00,site_0001,10.53269,35.91589,30,site_0001_l1,1,7,CELL_FDD,4.9592,5861.4749,86.1688,9.4094,4.3252,182
15-11-2025 20:00,site_0001,10.53269,35.91589,140,site_0001_h2,3,5,CELL_FDD,0.8234,15151.0321,44.1092,10.3827,3.4459,170
15-11-2025 20:00,site_0001,10.53269,35.91589,30,site_0001_h1,3,4,CELL_FDD,5.1875,4932.7299,90.7604,7.4584,4.5682,170
15-11-2025 22:00,site_0001,10.53269,35.91589,30,site_0001_f1,20,1,CELL_FDD,1.2908,7174.4685,63.8119,6.6056,4.6457,182
16-11-2025 08:00,site_0001,10.53269,35.91589,310,site_0001_h3,3,6,CELL_FDD,1.2595,43993.0783,59.7743,10.1683,5.2894,170
16-11-2025 09:00,site_0001,10.53269,35.91589,310,site_0001_f3,20,3,CELL_FDD,0.5681,32791.9238,35.0135,9.6025,4.8225,182
16-11-2025 15:00,site_0001,10.53269,35.91589,310,site_0001_l3,1,9,CELL_FDD,1.9298,12286.2069,57.9737,9.7551,4.535,170
16-11-2025 17:00,site_0001,10.53269,35.91589,140,site_0001_f2,20,2,CELL_FDD,0.603,5841.1507,30.1649,8.2162,4.5603,182
16-11-2025 20:00,site_0001,10.53269,35.91589,30,site_0001_h1,3,4,CELL_FDD,4.0093,6485.8869,80.032,8.0283,4.5991,170
16-11-2025 20:00,site_0001,10.53269,35.91589,140,site_0001_l2,1,8,CELL_FDD,0.438,13063.7221,21.6804,9.6717,3.4377,170
