date,time,enodeb_name,cell_name,localcell_id,cell_fdd_tdd_indication,ft_4g_lte_dl_traffic_volume__gbytes,ft_average_nb_of_users__ues_rrc_connected,l_traffic_activeuser_dl_avg,ft_ave_4g_lte_dl_user_thrput_without_last_tti_all___kbps__kbit_,ft_physical_resource_blocks_load_dl,ft_4g_lte_average_reported_cqi
01-12-2025,00:00,site_0091,site_0091_h1,4,CELL_FDD,6.4413,29.7125,1.2028,23162.9894,43.4372,9.3608
01-12-2025,00:00,site_0045,site_0045_f2,2,CELL_FDD,1.6895,6.4269,0.7442,6591.9248,42.433,8.4187
01-12-2025,00:00,site_0017,site_0017_h3,6,CELL_FDD,3.943,26.9147,0.7415,23604.5997,33.71,9.1907
01-12-2025,00:00,site_0091,site_0091_h2,5,CELL_FDD,9.2355,40.1436,3.1258,9222.233,79.5618,9.1273
01-12-2025,00:00,site_0049,site_0049_h2,5,CELL_FDD,8.1199,49.339,2.7538,11946.3824,67.7777,9.0996
01-12-2025,00:00,site_0045,site_0045_f3,3,CELL_FDD,2.7438,11.3175,0.8268,12568.9431,44.221,9.2974
01-12-2025,00:00,site_0023,site_0023_h1,4,CELL_FDD,6.417,29.1156,1.3653,19025.3112,51.2337,9.7088
01-12-2025,00:00,site_0030,site_0030_h1,4,CELL_FDD,7.4913,37.2541,1.8113,16679.6664,58.3218,9.6513
01-12-2025,00:00,site_0063,site_0063_f2,2,CELL_FDD,0.7318,2.0522,0.1666,20023.9703,16.0479,8.698
01-12-2025,00:00,site_0091,site_0091_h3,6,CELL_FDD,9.3403,41.8378,3.7519,6963.2343,86.6131,8.8127
01-12-2025,00:00,site_0049,site_0049_f3,3,CELL_FDD,2.2486,11.3212,1.4486,5252.3039,63.7433,7.8194
01-12-2025,00:00,site_0049,site_0049_h3,6,CELL_FDD,11.0993,61.5004,4.5947,7566.8975,84.4371,8.4084
01-12-2025,00:00,site_0045,site_0045_h1,4,CELL_FDD,11.3205,49.3783,3.4273,13324.7135,79.0287,9.1431
01-12-2025,00:00,site_0060,site_0060_f1,1,CELL_FDD,2.3632,9.2947,0.7288,10530.5535,36.4249,9.5373
01-12-2025,00:00,site_0063,site_0063_h1,4,CELL_FDD,7.4401,32.6656,1.4098,28360.1458,42.3432,10.7682
01-12-2025,00:00,site_0023,site_0023_h2,5,CELL_FDD,9.6741,36.4342,1.6264,26305.9794,52.04,10.3462
01-12-2025,00:00,site_0030,site_0030_f3,3,CELL_FDD,2.7682,17.7326,1.9605,4096.0045,68.1449,8.3181
01-12-2025,00:00,site_0030,site_0030_h3,6,CELL_FDD,9.1481,25.2102,2.084,14211.1531,74.8523,9.739
01-12-2025,00:00,site_0060,site_0060_h3,6,CELL_FDD,0.1515,1.4325,0.0472,9797.8413,4.2174,6.4539
01-12-2025,00:00,site_0063,site_0063_f3,3,CELL_FDD,1.2607,10.1147,0.3098,18346.8822,16.8041,9.6125
01-12-2025,00:00,site_0057,site_0057_h1,4,CELL_FDD,6.9637,29.8456,1.3463,21261.8151,45.6583,9.3203
01-12-2025,00:00,site_0104,site_0104_h1,4,CELL_FDD,3.729,15.2055,0.9689,12957.3468,48.4014,8.5331
01-12-2025,00:00,site_0059,site_0059_f1,1,CELL_FDD,0.4575,9.578,0.689,10258.1381,26.5177,9.32
01-12-2025,00:00,site_0059,site_0059_h1,4,CELL_FDD,3.1732,46.3865,2.184,16453.6464,60.5235,9.9696
01-12-2025,00:00,site_0049,site_0049_f2,2,CELL_FDD,1.7076,10.97,1.2355,5246.6793,43.267,8.2686
01-12-2025,00:00,site_0049,site_0049_f1,1,CELL_FDD,1.2427,6.4273,0.3263,16867.9281,17.5016,9.8746
01-12-2025,00:00,site_0045,site_0045_h3,6,CELL_FDD,11.0579,33.5853,2.9446,14062.9644,83.3356,9.4893
01-12-2025,00:00,site_0045,site_0045_h2,5,CELL_FDD,11.8301,60.6681,3.0546,18009.9233,65.9032,9.8609
01-12-2025,00:00,site_0060,site_0060_f3,3,CELL_FDD,0.0278,1.6358,0.0611,6931.8877,3.1536,8.484
01-12-2025,00:00,site_0060,site_0060_f2,2,CELL_FDD,0.2964,1.2525,0.0854,11676.1776,7.6704,8.0248
01-12-2025,00:00,site_0063,site_0063_h3,6,CELL_FDD,1.7049,16.5872,0.3015,39632.2496,11.6854,9.9779
01-12-2025,00:00,site_0063,site_0063_h2,5,CELL_FDD,3.8873,22.8664,1.3768,14398.3196,44.2152,8.9585
01-12-2025,00:00,site_0023,site_0023_f1,1,CELL_FDD,0.5531,4.8447,0.2555,7504.8372,22.7505,8.4139
01-12-2025,00:00,site_0023,site_0023_h3,6,CELL_FDD,0.462,6.535,0.1856,20528.4349,4.95,11.4549
01-12-2025,00:00,site_0023,site_0023_f3,3,CELL_FDD,0.3393,2.4439,0.076,20619.3952,5.3594,11.1174
01-12-2025,00:00,site_0023,site_0023_f2,2,CELL_FDD,0.1516,2.9206,0.06,16385.142,13.5675,9.7829
01-12-2025,00:00,site_0030,site_0030_f2,2,CELL_FDD,2.3035,12.4538,1.0818,7167.1358,43.4465,7.9524
01-12-2025,00:00,site_0030,site_0030_f1,1,CELL_FDD,0.4639,2.1619,0.2371,5031.6034,19.9167,8.0967
01-12-2025,00:00,site_0017,site_0017_h2,5,CELL_FDD,5.2629,31.04,1.2162,15387.5409,46.9356,8.2161
01-12-2025,00:00,site_0017,site_0017_h1,4,CELL_FDD,2.1939,17.0475,0.3699,23932.2664,19.5922,8.4271
01-12-2025,00:00,site_0060,site_0060_h2,5,CELL_FDD,0.4515,3.9681,0.1023,16767.0722,7.3504,7.4078
01-12-2025,00:00,site_0060,site_0060_h1,4,CELL_FDD,6.9236,17.7586,1.532,13069.4195,67.1911,7.8893
01-12-2025,00:00,site_0063,site_0063_f1,1,CELL_FDD,0.6352,4.4483,0.182,19237.3583,14.2514,9.0956
01-12-2025,00:00,site_0057,site_0057_h2,5,CELL_FDD,10.1454,54.1311,2.8667,13001.8897,70.6651,9.5094
01-12-2025,00:00,site_0104,site_0104_h3,6,CELL_FDD,8.2914,35.7162,2.0152,16410.2462,60.0994,9.3267
01-12-2025,00:00,site_0104,site_0104_h2,5,CELL_FDD,10.4526,42.4657,2.0985,23591.1283,57.1695,9.5934
01-12-2025,00:00,site_0059,site_0059_f3,3,CELL_FDD,0.9484,13.7273,1.0041,9527.4807,40.7569,8.9325
01-12-2025,00:00,site_0059,site_0059_f2,2,CELL_FDD,1.3595,24.9324,2.1568,4780.9935,67.1947,9.2026
01-12-2025,00:00,site_0059,site_0059_h3,6,CELL_FDD,2.1849,41.0166,1.9173,19370.2843,48.1753,9.3908
01-12-2025,00:00,site_0059,site_0059_h2,5,CELL_FDD,2.2466,53.348,2.14,13374.8659,53.1402,9.9986
