cell_name,peak_hour,peak_avg_prb,samples
TN1151_c01,22:00,94.3800,1
TN1151_c02,04:00,95.3000,1
TN1151_c03,02:00,88.2800,1
TN1152_c01,07:00,93.8900,1
TN1152_c02,05:00,94.5700,1
TN1152_c03,04:00,95.2900,1
TN1153_c01,12:00,94.2500,1
TN1153_c02,05:00,94.0400,1
TN1153_c03,03:00,93.8700,1
TN1154_c01,18:00,89.1300,1
TN1154_c02,02:00,95.4200,1
TN1154_c03,00:00,94.4800,1
TN1155_c01,17:00,85.7100,1
TN1155_c02,09:00,94.3300,1
TN1155_c03,07:00,94.9600,1
TN1156_c01,20:00,95.6600,1
TN1156_c02,20:00,95.1700,1
TN1156_c03,04:00,95.2300,1
TN1157_c01,06:00,88.4600,1
TN1157_c02,04:00,87.8700,1
TN1157_c03,09:00,95.8600,1
TN1158_c01,01:00,94.9600,1
TN1158_c02,00:00,94.3300,1
TN1158_c03,09:00,93.0500,1
TN1159_c01,10:00,93.6600,1
TN1159_c02,15:00,93.9200,1
TN1159_c03,06:00,86.7000,1
TN1160_c01,07:00,92.9800,1
TN1160_c02,19:00,95.9700,1
TN1160_c03,06:00,92.4200,1
TN1161_c01,20:00,95.5100,1
TN1161_c02,10:00,90.3900,1
TN1161_c03,18:00,95.4400,1
TN1162_c01,00:00,95.8300,1
TN1162_c02,10:00,88.8400,1
TN1162_c03,07:00,95.7700,1
TN1163_c01,08:00,90.3300,1
TN1163_c02,11:00,95.9500,1
TN1163_c03,11:00,95.7600,1
TN1164_c01,12:00,91.1500,1
TN1164_c02,21:00,90.3000,1
TN1164_c03,00:00,95.9800,1
TN1165_c01,13:00,95.9000,1
TN1165_c02,00:00,95.4800,1
TN1165_c03,17:00,91.0900,1
TN1166_c01,18:00,91.9600,1
TN1166_c02,06:00,94.9900,1
TN1166_c03,19:00,93.2600,1
TN1167_c01,01:00,86.7300,1
TN1167_c02,18:00,95.6700,1
TN1167_c03,23:00,92.7900,1
TN1168_c01,13:00,85.6700,1
TN1168_c02,18:00,93.3000,1
TN1168_c03,05:00,95.2600,1
TN1169_c01,09:00,95.0500,1
TN1169_c02,09:00,93.4700,1
TN1169_c03,01:00,94.8000,1
TN1170_c01,11:00,90.1300,1
TN1170_c02,13:00,94.2400,1
TN1170_c03,00:00,93.0500,1
TN1171_c01,00:00,94.6600,1
TN1171_c02,23:00,91.8400,1
TN1171_c03,19:00,94.8400,1
TN1251_c01,14:00,86.1700,1
TN1251_c02,14:00,93.0300,1
TN1251_c03,09:00,92.6900,1
TN1252_c01,17:00,93.6200,1
TN1252_c02,16:00,95.3100,1
TN1252_c03,20:00,95.0500,1
TN1253_c01,01:00,95.8000,1
TN1253_c02,17:00,95.5000,1
TN1253_c03,13:00,87.0600,1
TN1254_c01,07:00,93.2700,1
TN1254_c02,10:00,93.7300,1
TN1254_c03,09:00,95.2600,1
TN1255_c01,02:00,95.8200,1
TN1255_c02,18:00,95.4700,1
TN1255_c03,21:00,95.8700,1
TN1256_c01,12:00,93.8500,1
TN1256_c02,18:00,95.2700,1
TN1256_c03,00:00,94.3200,1
TN1257_c01,05:00,91.3700,1
TN1257_c02,01:00,91.0200,1
TN1257_c03,13:00,95.7900,1
TN1351_c01,13:00,93.9400,1
TN1351_c02,20:00,95.2000,1
TN1351_c03,23:00,94.4000,1
TN1352_c01,07:00,94.4200,1
TN1352_c02,12:00,87.5500,1
TN1352_c03,01:00,95.6500,1
TN1353_c01,19:00,92.9700,1
TN1353_c02,20:00,91.9900,1
TN1353_c03,00:00,95.9700,1
TN1354_c01,21:00,91.1200,1
TN1354_c02,06:00,95.2600,1
TN1354_c03,12:00,88.8300,1
TN1355_c01,08:00,94.3700,1
TN1355_c02,03:00,89.4900,1
TN1355_c03,11:00,95.4900,1
TN1356_c01,01:00,88.1000,1
TN1356_c02,08:00,95.0700,1
TN1356_c03,07:00,95.1800,1
TN1357_c01,20:00,95.4400,1
TN1357_c02,18:00,93.9400,1
TN1357_c03,19:00,95.9800,1
TN1358_c01,02:00,94.8500,1
TN1358_c02,16:00,87.8200,1
TN1358_c03,03:00,95.0900,1
TN1359_c01,01:00,95.4100,1
TN1359_c02,09:00,95.2100,1
TN1359_c03,23:00,95.5600,1
TN1360_c01,09:00,94.9000,1
TN1360_c02,23:00,94.6900,1
TN1360_c03,07:00,94.6000,1
TN1361_c01,19:00,88.3500,1
TN1361_c02,06:00,92.6000,1
TN1361_c03,20:00,94.9700,1
TN1362_c01,07:00,94.1900,1
TN1362_c02,18:00,95.9100,1
TN1362_c03,15:00,93.6300,1
TN1451_c01,02:00,95.7800,1
TN1451_c02,06:00,94.0500,1
TN1451_c03,13:00,95.3700,1
TN1452_c01,15:00,94.8000,1
TN1452_c02,13:00,95.9500,1
TN1452_c03,02:00,91.7600,1
TN1453_c01,17:00,92.7000,1
TN1453_c02,04:00,95.6900,1
TN1453_c03,20:00,95.5400,1
TN1454_c01,01:00,94.2700,1
TN1454_c02,13:00,95.9300,1
TN1454_c03,18:00,90.4600,1
TN1455_c01,17:00,91.2400,1
TN1455_c02,00:00,94.1800,1
TN1455_c03,02:00,90.3500,1
TN1456_c01,20:00,94.3600,1
TN1456_c02,00:00,93.7500,1
TN1456_c03,01:00,92.2500,1
TN1457_c01,17:00,94.9500,1
TN1457_c02,00:00,93.8300,1
TN1457_c03,05:00,92.8200,1
TN1458_c01,03:00,90.3800,1
TN1458_c02,21:00,89.7600,1
TN1458_c03,18:00,93.5000,1
TN1551_c01,06:00,95.4500,1
TN1551_c02,18:00,87.8600,1
TN1551_c03,12:00,94.2400,1
TN1552_c01,12:00,86.3200,1
TN1552_c02,16:00,94.4000,1
TN1552_c03,00:00,94.8600,1
TN1553_c01,07:00,94.9400,1
TN1553_c02,06:00,94.0000,1
TN1553_c03,17:00,94.3400,1
TN1554_c01,05:00,95.7800,1
TN1554_c02,21:00,90.2000,1
TN1554_c03,03:00,93.0100,1
TN1555_c01,23:00,95.2500,1
TN1555_c02,16:00,89.5600,1
TN1555_c03,17:00,92.9400,1
TN1556_c01,10:00,93.5100,1
TN1556_c02,19:00,93.4500,1
TN1556_c03,07:00,94.8800,1
TN1557_c01,22:00,95.1900,1
TN1557_c02,02:00,95.9000,1
TN1557_c03,06:00,95.6100,1
TN1558_c01,23:00,94.8600,1
TN1558_c02,18:00,93.9200,1
TN1558_c03,12:00,88.3100,1
TN1559_c01,01:00,95.1800,1
TN1559_c02,22:00,94.0300,1
TN1559_c03,05:00,95.8700,1
TN1560_c01,16:00,94.1700,1
TN1560_c02,09:00,92.2300,1
TN1560_c03,01:00,93.7800,1
TN1561_c01,17:00,90.4200,1
TN1561_c02,14:00,95.9000,1
TN1561_c03,11:00,93.8200,1
TN1562_c01,18:00,94.4000,1
TN1562_c02,13:00,92.1200,1
TN1562_c03,16:00,94.4000,1
TN1563_c01,10:00,95.4100,1
TN1563_c02,01:00,93.0700,1
TN1563_c03,23:00,94.4600,1
TN1564_c01,20:00,93.9300,1
TN1564_c02,06:00,91.5100,1
TN1564_c03,03:00,94.3900,1
TN1565_c01,01:00,95.7800,1
TN1565_c02,21:00,95.7300,1
TN1565_c03,01:00,92.1200,1
TN1566_c01,22:00,95.5000,1
TN1566_c02,23:00,85.3100,1
TN1566_c03,07:00,92.9900,1
TN1651_c01,17:00,94.7600,1
TN1651_c02,09:00,95.9500,1
TN1651_c03,13:00,89.7500,1
TN1652_c01,15:00,93.4500,1
TN1652_c02,15:00,89.7600,1
TN1652_c03,07:00,95.4900,1
TN1653_c01,01:00,93.0900,1
TN1653_c02,22:00,93.9100,1
TN1653_c03,22:00,94.7700,1
TN1654_c01,19:00,94.7500,1
TN1654_c02,08:00,95.4800,1
TN1654_c03,00:00,94.1200,1
TN1655_c01,18:00,95.7700,1
TN1655_c02,19:00,93.4000,1
TN1655_c03,19:00,94.0500,1
TN1656_c01,03:00,94.5300,1
TN1656_c02,00:00,88.5400,1
TN1656_c03,14:00,95.6600,1
TN1751_c01,01:00,95.5600,1
TN1751_c02,12:00,94.8100,1
TN1751_c03,13:00,95.3600,1
TN1752_c01,15:00,93.3700,1
TN1752_c02,11:00,93.4500,1
TN1752_c03,20:00,95.0700,1
TN1753_c01,18:00,93.5900,1
TN1753_c02,07:00,95.9200,1
TN1753_c03,01:00,95.0700,1
TN1754_c01,13:00,94.3500,1
TN1754_c02,14:00,92.3400,1
TN1754_c03,15:00,93.8000,1
TN1755_c01,09:00,95.6800,1
TN1755_c02,07:00,95.9800,1
TN1755_c03,13:00,93.2100,1
TN1756_c01,03:00,93.5100,1
